City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Colesberg,ZA,-30.72,25.1,64.67,24,5,5.99,clear sky
130,East London,ZA,-33.02,27.91,67.14,68,20,16.11,few clouds
131,Cabo San Lucas,MX,22.89,-109.91,79.52,92,20,3.0,few clouds
132,Rawson,AR,-43.3,-65.1,48.25,86,99,19.3,light rain
133,Dzhebariki-Khaya,RU,62.22,135.8,27.68,73,24,4.09,few clouds
134,Innisfail,AU,-17.53,146.03,73.29,86,100,1.83,overcast clouds
135,Karratha,AU,-20.74,116.85,73.27,51,0,8.52,clear sky
136,Talnakh,RU,69.49,88.4,33.21,96,100,24.99,snow
137,Grand Gaube,MU,-20.01,57.66,73.8,71,1,10.0,clear sky
138,Pitimbu,BR,-7.47,-34.81,82.99,64,24,12.62,few clouds
139,Kavieng,PG,-2.57,150.8,81.9,72,99,4.9,overcast clouds
140,Hofn,IS,64.25,-15.21,51.82,87,40,3.44,light rain
141,Halifax,CA,44.65,-63.57,65.68,97,100,3.0,mist
142,Port Alfred,ZA,-33.59,26.89,67.17,75,0,8.99,clear sky
143,Gat,IL,31.61,34.76,81.79,22,0,14.2,clear sky
144,Vilhena,BR,-12.74,-60.15,84.42,54,8,16.11,clear sky
145,Vuktyl,RU,63.86,57.31,42.08,89,100,11.01,light rain
146,Biak,ID,-0.91,122.88,76.46,84,22,3.4,few clouds
147,Romny,UA,50.75,33.47,55.18,62,95,5.91,overcast clouds
148,Castro,BR,-24.79,-50.01,59.59,97,100,4.99,overcast clouds
149,Whitianga,NZ,-36.83,175.7,52.99,88,48,3.85,scattered clouds
150,Dikson,RU,73.51,80.55,31.64,87,100,31.23,overcast clouds
151,Mahajanga,MG,-15.72,46.32,91.42,29,20,16.11,few clouds
152,Norman Wells,CA,65.28,-126.83,50.04,71,75,11.5,broken clouds
153,Caravelas,BR,-17.71,-39.25,79.93,68,96,10.56,overcast clouds
154,Port Lincoln,AU,-34.73,135.87,55.4,78,4,2.64,clear sky
155,Fort Collins,US,40.59,-105.08,62.82,63,14,8.05,few clouds
156,Coos Bay,US,43.37,-124.22,58.98,100,100,3.44,overcast clouds
157,Tarauaca,BR,-8.16,-70.77,84.92,61,84,1.92,broken clouds
158,Teluk Nibung,ID,3.0,99.82,76.59,89,100,3.96,overcast clouds
159,Santiago,CL,-33.46,-70.65,54.28,61,0,4.61,clear sky
160,Keetmanshoop,NA,-26.58,18.13,76.68,9,85,10.13,overcast clouds
161,Kotri,PK,25.37,68.31,88.14,52,5,16.49,clear sky
162,Olsztyn,PL,53.78,20.49,57.16,70,99,10.16,overcast clouds
163,Stephenville,US,32.22,-98.2,81.16,73,0,3.44,clear sky
164,Dobris,CZ,49.78,14.17,59.34,67,91,4.12,overcast clouds
165,San Patricio,US,28.02,-97.52,83.89,71,5,4.68,clear sky
166,Flinders,AU,-34.58,150.86,63.37,88,100,7.0,light rain
167,Darhan,MN,49.49,105.92,39.96,63,12,9.1,few clouds
168,Evensk,RU,61.95,159.23,41.88,80,100,6.35,overcast clouds
169,Isangel,VU,-19.55,169.27,74.19,86,0,7.05,clear sky
170,Mount Gambier,AU,-37.83,140.77,49.33,97,25,3.15,scattered clouds
171,Tiksi,RU,71.69,128.87,34.02,99,100,16.6,snow
172,Inyonga,TZ,-6.72,32.07,92.66,14,84,5.5,broken clouds
173,Ponta Do Sol,PT,32.67,-17.1,81.23,72,49,2.1,scattered clouds
174,Hirara,JP,24.8,125.28,79.07,65,17,14.56,few clouds
175,Chuy,UY,-33.7,-53.46,56.97,62,100,9.35,overcast clouds
176,Sulangan,PH,11.14,123.72,84.4,73,100,10.92,moderate rain
177,Cherskiy,RU,68.75,161.3,39.65,60,96,8.52,overcast clouds
178,Independencia,BR,-5.4,-40.31,92.82,27,0,7.31,clear sky
179,Yulara,AU,-25.24,130.99,63.93,29,0,9.66,clear sky
180,Coquimbo,CL,-29.95,-71.34,55.13,66,0,6.91,clear sky
