City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Saint-Philippe,RE,2022-09-21 20:25:45,-21.36,55.77,67.59,79,40,11.81
97,Itarema,BR,2022-09-21 20:25:46,-2.92,-39.92,79.7,75,30,18.03
98,Kruisfontein,ZA,2022-09-21 20:25:46,-34.0,24.73,56.88,62,34,4.14
99,Cherskiy,RU,2022-09-21 20:25:47,68.75,161.3,36.34,62,75,7.14
100,Tzucacab,MX,2022-09-21 20:25:47,20.07,-89.05,87.1,58,97,1.97
101,Nome,US,2022-09-21 20:25:47,64.5,-165.41,44.67,77,100,24.16
102,Jiangyou,CN,2022-09-21 20:25:48,31.77,104.72,67.06,93,100,1.39
103,Bredasdorp,ZA,2022-09-21 20:25:48,-34.53,20.04,52.12,87,3,2.28
104,Klaksvik,FO,2022-09-21 20:25:49,62.23,-6.59,52.72,94,100,21.94
105,Tekkali,IN,2022-09-21 20:25:49,18.62,84.23,79.68,88,100,4.47
106,Tasiilaq,GL,2022-09-21 20:25:49,65.61,-37.64,37.56,94,63,4.94
107,Coquimbo,CL,2022-09-21 20:25:50,-29.95,-71.34,64.13,51,0,18.41
108,Tonantins,BR,2022-09-21 20:25:50,-2.87,-67.8,92.88,50,90,1.07
109,Nagornyy,RU,2022-09-21 20:25:51,52.8,83.55,52.41,51,16,3.11
110,Buarcos,PT,2022-09-21 20:25:51,40.17,-8.88,68.67,89,0,3.38
111,Seoul,KR,2022-09-21 20:23:08,37.57,126.98,62.04,67,0,4.61
112,Kaoma,ZM,2022-09-21 20:25:52,-14.78,24.8,75.13,36,67,4.81
113,Bon Air,US,2022-09-21 20:25:52,37.52,-77.56,91.67,45,0,8.05
114,Gornopravdinsk,RU,2022-09-21 20:25:53,60.05,69.9,50.99,78,62,7.65
115,Namibe,AO,2022-09-21 20:25:53,-15.2,12.15,65.91,88,91,8.77
116,Port Hardy,CA,2022-09-21 20:25:54,50.7,-127.42,57.38,72,40,3.44
117,Chokurdakh,RU,2022-09-21 20:25:54,70.63,147.92,32.47,93,100,9.78
118,Nanortalik,GL,2022-09-21 20:25:54,60.14,-45.24,42.91,72,11,8.86
119,Tautira,PF,2022-09-21 20:25:55,-17.73,-149.15,77.32,75,18,16.46
120,Bulgan,MN,2022-09-21 20:25:55,48.81,103.53,35.67,83,4,1.97
121,Grand Gaube,MU,2022-09-21 20:25:56,-20.01,57.66,72.0,74,5,10.0
122,Litovko,RU,2022-09-21 20:25:56,49.24,135.17,42.42,87,28,3.4
123,Los Llanos De Aridane,ES,2022-09-21 20:25:56,28.66,-17.92,71.35,87,20,5.75
124,Beringovskiy,RU,2022-09-21 20:25:57,63.05,179.32,42.01,89,100,5.28
125,Codrington,AU,2022-09-21 20:25:57,-38.27,141.97,51.04,96,20,3.8
126,Yar-Sale,RU,2022-09-21 20:25:58,66.83,70.83,38.57,74,72,16.24
127,Calama,CL,2022-09-21 20:24:08,-22.47,-68.93,66.69,8,0,20.71
128,Nemuro,JP,2022-09-21 20:25:58,43.32,145.57,55.15,76,0,2.35
129,Karratha,AU,2022-09-21 20:25:59,-20.74,116.85,70.12,35,0,7.2
130,Leningradskiy,RU,2022-09-21 20:25:59,69.38,178.42,35.26,93,66,21.72
131,Mareeba,AU,2022-09-21 20:25:59,-17.0,145.43,66.92,94,77,2.13
132,Nuuk,GL,2022-09-21 20:23:22,64.18,-51.72,45.21,76,75,12.66
133,Udalguri,IN,2022-09-21 20:26:00,26.77,92.13,76.55,89,100,1.36
134,Calan,RO,2022-09-21 20:26:00,45.73,22.98,45.28,90,29,2.42
135,Yuzhne,UA,2022-09-21 20:26:01,46.62,31.1,57.29,62,95,8.7
136,Otsuki,JP,2022-09-21 20:26:01,35.6,138.93,63.99,93,100,3.94
137,Severo-Kurilsk,RU,2022-09-21 20:26:02,50.68,156.12,47.8,76,10,14.07
138,Juneau,US,2022-09-21 20:25:59,58.3,-134.42,57.11,93,100,16.11
139,Meulaboh,ID,2022-09-21 20:27:02,4.14,96.13,74.32,84,100,4.05
140,Papagaios,BR,2022-09-21 20:27:03,-19.45,-44.75,85.03,40,98,6.26
141,Pitkyaranta,RU,2022-09-21 20:27:03,61.57,31.48,46.72,81,100,4.65
142,Ponta Do Sol,PT,2022-09-21 20:27:04,32.67,-17.1,75.0,85,43,6.33
143,Mar Del Plata,AR,2022-09-21 20:24:46,-38.0,-57.56,59.09,80,0,11.5
144,Mabaruma,GY,2022-09-21 20:27:04,8.2,-59.78,75.51,93,100,1.9
145,Half Moon Bay,US,2022-09-21 20:27:05,37.46,-122.43,75.45,80,0,11.5
146,Zheleznodorozhnyy,RU,2022-09-21 20:26:40,55.75,38.0,50.43,92,100,5.55
147,Cradock,ZA,2022-09-21 20:27:05,-32.16,25.62,58.05,41,20,1.05
148,San Juan,AR,2022-09-21 20:27:06,-31.54,-68.54,59.09,27,46,9.33
149,Buluang,PH,2022-09-21 20:27:06,13.31,123.34,77.54,91,100,3.15
150,Onega,RU,2022-09-21 20:27:07,63.91,38.14,45.48,73,97,3.91
151,Hasaki,JP,2022-09-21 20:27:07,35.73,140.83,63.0,62,100,19.53
152,Alyangula,AU,2022-09-21 20:27:08,-13.85,136.42,75.92,80,2,5.37
153,Shizuishan,CN,2022-09-21 20:27:08,39.23,106.77,57.65,38,0,8.7
154,Khatanga,RU,2022-09-21 20:27:09,71.97,102.5,22.06,80,80,16.24
155,Camacha,PT,2022-09-21 20:27:09,33.08,-16.33,71.02,73,20,8.05
156,Tura,IN,2022-09-21 20:27:09,25.52,90.22,73.65,95,93,4.74
157,Dikson,RU,2022-09-21 20:27:10,73.51,80.55,29.28,87,100,30.22
158,Bambous Virieux,MU,2022-09-21 20:27:10,-20.34,57.76,71.85,83,75,10.36
159,Saint-Leu,RE,2022-09-21 20:27:11,-21.15,55.28,70.63,74,1,3.69
160,Katakwi,UG,2022-09-21 20:27:11,1.89,33.97,67.39,75,69,3.42
161,Hiranagar,IN,2022-09-21 20:27:12,32.45,75.27,76.8,73,0,2.06
162,Yining,CN,2022-09-21 20:27:12,29.04,114.56,66.94,70,100,1.79
163,Hofn,IS,2022-09-21 20:27:13,64.25,-15.21,51.1,82,100,4.52
164,Nanakuli,US,2022-09-21 20:27:13,21.39,-158.15,84.42,57,75,9.22
165,Sambava,MG,2022-09-21 20:27:14,-14.27,50.17,70.43,93,100,10.49
166,Kijang,KR,2022-09-21 20:27:14,35.24,129.21,58.73,73,28,9.91
167,Atbasar,KZ,2022-09-21 20:27:14,51.8,68.33,64.53,45,0,2.82
168,Cap Malheureux,MU,2022-09-21 20:27:15,-19.98,57.61,71.47,74,3,10.0
169,Manoel Urbano,BR,2022-09-21 20:27:16,-8.84,-69.26,99.0,30,84,1.97
170,Talnakh,RU,2022-09-21 20:27:16,69.49,88.4,36.21,96,100,16.53
171,Yulara,AU,2022-09-21 20:27:17,-25.24,130.99,55.8,36,0,9.06
172,Sao Joao Da Barra,BR,2022-09-21 20:27:17,-21.64,-41.05,77.09,79,98,10.63
173,Faanui,PF,2022-09-21 20:27:18,-16.48,-151.75,78.55,75,7,21.0
174,Brigantine,US,2022-09-21 20:23:40,39.41,-74.36,84.2,62,0,10.36
175,Winslow,US,2022-09-21 20:27:18,35.02,-110.7,69.98,73,100,12.66
176,Arkhipo-Osipovka,RU,2022-09-21 20:27:19,44.37,38.52,59.72,58,99,11.5
177,Sakakah,SA,2022-09-21 20:26:57,29.97,40.21,83.77,29,0,9.6
178,Wanning,CN,2022-09-21 20:27:20,18.8,110.4,78.48,86,99,2.64
179,Beroroha,MG,2022-09-21 20:27:20,-21.67,45.17,72.5,48,0,2.33
180,Makakilo City,US,2022-09-21 20:27:21,21.35,-158.09,82.98,61,75,10.36
181,Taonan,CN,2022-09-21 20:27:21,45.33,122.78,59.76,66,44,18.12
182,Eyl,SO,2022-09-21 20:27:22,7.98,49.82,77.49,86,35,17.16
183,Matara,LK,2022-09-21 20:28:23,5.95,80.54,77.45,89,4,8.79
184,Orsha,BY,2022-09-21 20:28:23,54.52,30.41,48.02,94,100,6.06
185,Katav-Ivanovsk,RU,2022-09-21 20:28:23,54.75,58.2,55.78,55,94,3.67
186,Broome,US,2022-09-21 20:28:24,42.25,-75.83,81.01,59,0,9.22
187,Saint-Joseph,RE,2022-09-21 20:28:24,-21.37,55.62,66.58,77,20,11.95
188,Haines Junction,CA,2022-09-21 20:28:25,60.75,-137.51,66.15,42,100,9.22
189,Akyab,MM,2022-09-21 20:28:25,20.15,92.9,80.11,84,62,3.11
190,Caravelas,BR,2022-09-21 20:28:26,-17.71,-39.25,75.9,78,36,11.92
191,Imeni Poliny Osipenko,RU,2022-09-21 20:28:26,52.42,136.49,45.12,93,100,8.28
