City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,Faanui,PF,78.06,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
340,Buala,SB,74.41,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
341,Ambon,ID,79.23,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
343,Gushikawa,JP,78.03,clear sky,26.35,127.87,Kirari Guest House
345,Ciudad Bolivar,VE,84.97,overcast clouds,8.12,-63.55,Hotel Edi
346,Nacala,MZ,81.72,broken clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
347,Salalah,OM,80.56,overcast clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
349,Mujiayingzi,CN,61.81,clear sky,42.12,118.78,Jinjiang Hotel
350,Half Moon Bay,US,63.25,moderate rain,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
353,Nara,JP,69.49,overcast clouds,34.69,135.8,Hotel Nikko Nara
354,Hambantota,LK,86.34,few clouds,6.12,81.12,Bungalow 63
355,Belmonte,BR,79.38,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
356,Raudeberg,NO,61.95,overcast clouds,61.99,5.14,Nordre Silda.
360,Kargasok,RU,63.34,overcast clouds,59.06,80.86,Hotel Kargasok
362,Lorengau,PG,79.56,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
364,Suksun,RU,60.66,broken clouds,57.14,57.39,Island Relax
366,Oxapampa,PE,69.76,overcast clouds,-10.58,-75.4,Hotel Heidinger
367,Pisco,PE,62.02,overcast clouds,-13.7,-76.22,Hotel San Isidro Oficial
368,La Rioja,ES,69.58,clear sky,42.25,-2.5,Casa Concejos
369,Buraydah,SA,106.25,broken clouds,26.33,43.98,Mövenpick Qassim
370,Bisho,ZA,66.94,clear sky,-32.85,27.44,RUACH MANOR
372,Tautira,PF,76.64,light rain,-17.73,-149.15,Pension Oaoa
373,Jatiroto,ID,75.25,overcast clouds,-7.88,111.12,Nurrin's hometown
377,Banes,CU,85.84,broken clouds,20.96,-75.72,Hostal Iván y yailet
380,Fare,PF,78.46,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
381,Ravar,IR,86.63,clear sky,31.27,56.81,computertik
383,Broome,US,67.68,scattered clouds,42.25,-75.83,Chenango Valley State Park
384,Sorong,ID,79.07,light rain,-0.88,131.25,Waigo Splash Hotel
385,Bantry,IE,61.79,broken clouds,51.68,-9.45,The Maritime Hotel
388,Tweed,CA,65.86,broken clouds,44.48,-77.32,Stoco Lake Lodge
389,Chapleau,CA,62.69,broken clouds,47.84,-83.4,Nemegosenda Lake Lodge
390,Berbera,SO,92.34,clear sky,10.44,45.01,Damal Hotel
391,Cuyo,PH,83.53,overcast clouds,10.85,121.01,Jarnchi Pension House
392,Siderno,IT,73.08,overcast clouds,38.28,16.3,Grand Hotel President
393,Kloulklubed,PW,84.0,scattered clouds,7.04,134.26,Storyboard Beach Resort
397,Palpa,PE,68.34,scattered clouds,-14.53,-75.19,Palpa Lines
399,Lingao,CN,79.54,broken clouds,19.91,109.69,Lingao Ditai Inn
400,Sirjan,IR,81.48,scattered clouds,29.45,55.68,هتل عطرسیب سیرجان
402,Vanimo,PG,76.46,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
403,Southbridge,US,64.63,overcast clouds,42.08,-72.03,Southbridge Hotel & Conference Center
406,Nhulunbuy,AU,77.61,clear sky,-12.23,136.77,East Arnhem Real Estate
410,Mercedes,AR,61.86,scattered clouds,-34.65,-59.43,Posada del Inti Centro
413,Ilovlya,RU,71.26,overcast clouds,49.3,43.98,"Tri Sosny, Baza Otdykha"
414,Dali,CN,62.56,broken clouds,25.7,100.18,Dali Travelling With Hostel
415,Teknaf,BD,80.64,few clouds,20.86,92.31,Shilbania para
417,Altay,CN,60.01,clear sky,47.87,88.12,Jinqiao Hotel
418,Jiayuguan,CN,61.9,few clouds,39.82,98.3,Jiugang Hotel - Jiayuguan
419,Abu Dhabi,AE,93.96,clear sky,24.47,54.37,Beach Rotana
420,Sydney,AU,64.71,light rain,-33.87,151.21,QT Sydney
421,Moroni,KM,75.27,light rain,-11.7,43.26,Hotel Les Arcades
422,Council Bluffs,US,66.02,few clouds,41.26,-95.86,"Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area, an IHG Hotel"
423,Sisophon,KH,77.54,overcast clouds,13.59,102.97,Pyramid Hotel
424,Plettenberg Bay,ZA,65.64,overcast clouds,-34.05,23.37,Thanda Vista B&B
425,Guatire,VE,86.68,overcast clouds,10.48,-66.54,Parque Residencial Canaima I
426,Patrocinio,BR,85.5,clear sky,-18.94,-46.99,Guines Palace Hotel 34-99816-3311
427,Quatre Cocos,MU,73.09,scattered clouds,-20.21,57.76,Sunrise Attitude Hotel
428,Hargeysa,SO,87.76,broken clouds,9.56,44.06,Deero Hotel Hargeisa
430,Miguel Calmon,BR,85.41,clear sky,-11.43,-40.6,Pousada Guiomar
432,Krasnyy Gulyay,RU,60.01,overcast clouds,54.03,48.33,Dostupnyy Dom
434,Payo,ID,74.21,overcast clouds,-3.75,103.64,Mess keban agung
437,Nicoya,CR,78.28,scattered clouds,10.15,-85.45,Las Cabinas Del Sueño
438,Angoche,MZ,79.29,clear sky,-16.23,39.91,Guest House HESADA
439,Sambava,MG,74.1,overcast clouds,-14.27,50.17,Melrose
440,Jabinyanah,TN,85.53,broken clouds,35.03,10.91,maison belmabrouk
442,Konin,PL,60.75,overcast clouds,52.22,18.25,POKOJE GOŚCINNE
444,Camopi,GF,90.39,few clouds,3.17,-52.32,La pousada
445,Pokaran,IN,96.15,clear sky,26.92,71.92,Motel Pokaran - RTDC
