City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Bayir,TR,70.32,clear sky,37.27,28.22,Hotel Babadag
273,Pacifica,US,66.22,broken clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
275,Lompoc,US,72.57,few clouds,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
278,Alindao,CF,74.5,light rain,5.03,21.21,OCHA Alindao
279,Sinnamary,GF,83.48,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
282,Pemangkat,ID,78.26,overcast clouds,1.17,108.97,Ramah Kost KITA
283,Road Town,VG,87.89,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
284,Saint-Georges,GD,83.88,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
285,Cukai,MY,78.75,overcast clouds,4.25,103.42,OYO 90038 Dalyla Inn Chalet
288,Dinghai,CN,77.92,overcast clouds,26.28,119.79,Shanhai Hotel
290,Jiancheng,CN,66.56,overcast clouds,30.39,104.55,Jianyang Celebrity City Hotel
292,Balabac,PH,81.14,overcast clouds,7.99,117.06,Sing and Swing Lodge
293,Ambilobe,MG,76.73,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
296,Harper,LR,79.57,scattered clouds,4.38,-7.72,Screensaver
298,Crotone,IT,71.55,few clouds,39.09,17.12,Helios Hotel
299,Guider,CM,78.35,light rain,9.93,13.95,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
300,Arlit,NE,98.87,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
302,Kruisfontein,ZA,63.88,broken clouds,-34.0,24.73,Oyster Bay House Rental
303,Ouesso,CG,75.81,overcast clouds,1.61,16.05,ABENIE Hotel
305,Tautira,PF,77.05,few clouds,-17.73,-149.15,Pension Oaoa
306,Quang Ngai,VN,76.44,overcast clouds,15.12,108.8,Central Hotel
308,Dwarka,IN,80.87,scattered clouds,22.24,68.97,Hotel Narayan Avezika Comfort
309,Biltine,TD,93.43,broken clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
313,Bud,US,90.75,clear sky,39.45,-86.18,Ted McQuinn Trust
314,Monrovia,LR,82.17,light rain,6.3,-10.8,Eco Hotel
315,Voh,NC,69.28,clear sky,-20.97,164.7,Le gîte du Koniambo
317,Mantua,IT,69.04,overcast clouds,45.17,10.78,Hotel la Favorita
318,Japura,ID,73.38,broken clouds,-0.32,102.35,Rumah mbah Jamah
321,Gorontalo,ID,74.61,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
322,Griffith,US,87.73,clear sky,41.53,-87.42,Apartment above Depot Bar
323,Santa Rosa,PH,81.1,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
324,Bubaque,GW,81.09,moderate rain,11.28,-15.83,"Casa Dora, Bubaque"
325,Dapaong,TG,82.29,light rain,10.86,0.2,Hotel Caroli
326,Galeana,MX,70.81,clear sky,24.83,-100.07,Mirador
327,Port Hedland,AU,66.25,scattered clouds,-20.32,118.57,The Esplanade Hotel
328,Hernani,ES,68.94,clear sky,43.27,-1.98,Silken Amara Plaza San Sebastián
330,Bida,NG,80.91,overcast clouds,9.08,6.02,Royal Suite
331,Isangel,VU,73.65,clear sky,-19.55,169.27,Tanna Lodge
332,Saint-Pierre,RE,71.28,clear sky,-21.34,55.48,Alize Plage
334,Howard Springs,AU,81.82,overcast clouds,-12.5,131.05,buffalo beach hostel
336,Paita,PE,70.72,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
338,East London,ZA,63.19,clear sky,-33.02,27.91,Tu Casa
339,Amroli,IN,82.27,broken clouds,21.3,72.85,Kakadiya Farm
340,West Bay,KY,86.07,broken clouds,19.37,-81.42,Calypso Cove
342,Praia,CV,84.74,scattered clouds,14.92,-23.51,LT Aparthotel
344,Lucea,JM,87.66,overcast clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
347,Baghdad,IQ,91.31,clear sky,33.34,44.4,Baghdad Hotel
348,Tomatlan,MX,86.76,overcast clouds,19.93,-105.25,El Salvial
349,Zhuji,CN,66.0,overcast clouds,29.72,120.24,YaoJiang New Century Grand Hotel Zhuji
350,Takanabe,JP,64.67,broken clouds,32.13,131.5,Hotel AZ Miyazaki Takanabe
351,Ruidoso,US,75.06,clear sky,33.33,-105.67,Inn of the Mountain Gods
353,Englehart,CA,66.22,mist,47.82,-79.87,Englehart Motel & Restaurant
354,Sabang,ID,82.65,overcast clouds,5.89,95.32,Hotel Citra
355,Kirakira,SB,76.19,overcast clouds,-10.45,161.92,SanBiz Lodge
359,Lipari,IT,77.32,broken clouds,38.47,14.95,Hotel Villa Augustus
360,Diego De Almagro,CL,71.26,clear sky,-26.37,-70.05,hotel luna del desierto
361,Cockburn Town,TC,82.58,overcast clouds,21.46,-71.14,Osprey Beach Hotel
364,Oranjestad,AW,80.55,thunderstorm,12.52,-70.03,Divi Village Golf & Beach Resort
365,Port Elizabeth,ZA,66.09,clear sky,-33.92,25.57,39 On Nile Guest House
367,Guiberoua,CI,76.5,light rain,6.24,-6.17,HOTEL LE CHALET
370,Isoka,ZM,73.6,few clouds,-10.16,32.63,Musanchi Guest House
371,Santa Cruz Cabralia,BR,80.83,broken clouds,-16.28,-39.02,Puerto Princesa Inn
373,Paris,FR,68.36,clear sky,48.85,2.35,Citadines Saint-Germain-des-Prés Paris (Apart hotel Paris)
374,Skibbereen,IE,61.54,broken clouds,51.55,-9.27,The West Cork Hotel
376,Ferrol,ES,79.23,clear sky,43.48,-8.24,Hotel Spa Sercotel Odeón
377,Tartagal,AR,68.27,overcast clouds,-22.52,-63.8,Almuñecar Hotel
378,Guanica,PR,88.5,broken clouds,17.97,-66.91,Copamarina Beach Resort & Spa
380,Payo,ID,74.32,broken clouds,-3.75,103.64,Mess keban agung
384,Bainbridge,US,67.96,few clouds,47.63,-122.52,Bainbridge Island Country Inn
385,Hazaribag,IN,73.18,few clouds,23.98,85.35,Capital O 46318 Sri Vinayak Deluxe
386,Quatre Cocos,MU,72.09,scattered clouds,-20.21,57.76,Sunrise Attitude Hotel
390,Yershov,RU,65.25,overcast clouds,51.35,48.28,Gudok
391,Rock Sound,BS,83.64,clear sky,24.9,-76.2,Pink Corral Bay Property
394,Cayenne,GF,89.64,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
396,Cruzeiro Do Sul,BR,69.53,overcast clouds,-29.51,-51.99,Estrela Palace Hotel
401,San Patricio,US,89.55,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
402,Colares,PT,82.06,few clouds,38.8,-9.45,Arribas Sintra Hotel
403,Pokhara,NP,71.28,broken clouds,28.23,83.98,OYO 170 Hotel View Point
404,Belmonte,BR,79.79,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
409,Buritis,BR,95.88,broken clouds,-15.62,-46.42,Hotel Rainha do Vale
414,Kudahuvadhoo,MV,82.9,clear sky,2.67,72.89,Kudahuvadhoo Retreat
415,Mount Vernon,US,79.95,few clouds,40.91,-73.84,Ramada by Wyndham Bronx
416,Camacari,BR,82.17,scattered clouds,-12.7,-38.32,Sítio Blasi
418,San Policarpo,PH,77.4,broken clouds,12.18,125.51,Agapita M. Nicart
421,Kimberley,ZA,67.69,clear sky,-28.73,24.76,Welgewandel Guesthouse
422,Nador,MA,78.87,scattered clouds,35.17,-2.93,Hôtel La Giralda
424,Westport,US,77.41,broken clouds,41.14,-73.36,The Westport Inn
425,Keti Bandar,PK,81.68,few clouds,24.14,67.45,Haji laloo memon house
426,Hambantota,LK,79.99,clear sky,6.12,81.12,Bungalow 63
428,Moron,AR,64.94,broken clouds,-34.65,-58.62,Hotel Morón
429,Labuhan,ID,78.04,overcast clouds,-6.88,112.21,DoubleFAG
430,Ancona,IT,65.08,clear sky,43.55,13.17,Casa Vandina - B&B
431,Canico,PT,79.43,few clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
433,Kaoma,ZM,76.19,broken clouds,-14.78,24.8,KAOMA AIRPORT
434,Trinidad,BO,94.98,smoke,-14.83,-64.9,Hotel Piesta
437,Mbuji-Mayi,CD,79.27,light rain,-6.15,23.6,HOTEL METROPOLE DU KASAI
439,Ishigaki,JP,73.53,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
440,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
441,Tuskegee,US,92.08,clear sky,32.42,-85.69,Macon Motel
443,Kilindoni,TZ,75.92,broken clouds,-7.91,39.67,Bustani B&B
445,Ixtapa,MX,81.23,broken clouds,20.7,-105.2,hotel la terminal
448,Panchagarh,BD,79.65,broken clouds,26.33,88.56,Central Guest House (Pvt.) Ltd.
449,Acari,PE,71.42,broken clouds,-15.43,-74.62,HOSPEDAJE XIMENA
450,Fortuna,US,63.36,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
451,Aksu,CN,76.46,overcast clouds,41.12,80.26,Pudong Holiday Hotel
452,Fort-Shevchenko,KZ,75.47,clear sky,44.51,50.26,Oasis hotel Bautino
455,Komsomolskiy,UZ,75.92,scattered clouds,40.43,71.72,Ikathouse
456,Shieli,KZ,72.93,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
457,Mountain Home,US,62.08,scattered clouds,43.13,-115.69,Mountain Home Inn
458,Touros,BR,83.35,clear sky,-5.2,-35.46,INN NEW HORIZON
